nodedef>name VARCHAR,label VARCHAR,type VARCHAR,type_post VARCHAR,post_published VARCHAR,post_published_unix INT,user_locale VARCHAR,user_sex VARCHAR,likes INT,likes_count_fb INT,comments_all INT,comments_base INT,comments_replies INT,comment_likes INT,shares INT,engagement INT,post_id VARCHAR,post_link VARCHAR
a0f537a19493a0716693cd40f47a7edb9fa7c388,Brace yourselves Oliners.. #courseevals,post_page_73089331857,photo,2015-04-17T17:56:09+0000,,,,6,6,0,0,0,0,0,6,73089331857_10153133322556858,https://www.facebook.com/73089331857/posts/10153133322556858
e5e21d5fa6660193d713617b488c6337c529ed34,user_1680457174,user,user,,,en_US,female,41,,0,0,0,,,41,,
bbc5ab34715beba6d104306e1590fd75b592ff41,user_100002382553517,user,user,,,en_US,female,12,,0,0,0,,,12,,
31293e2a531de552e6135e3b208f29443b6cad58,user_100006912420808,user,user,,,en_US,male,17,,0,0,0,,,17,,
6d7351c70563697c8f6ceaa86b1f8d60aff4a842,user_917878,user,user,,,en_US,male,1,,0,0,0,,,1,,
427783aa067c005f447c2bd4ff6af097b73d0668,user_100004182040413,user,user,,,en_US,male,4,,0,0,0,,,4,,
b2265bbac628cc89561d7a515c7220b4beb944d8,user_100002928748803,user,user,,,en_US,male,11,,0,0,0,,,11,,
eb9347e3d70fe776dcc0c90cc2c8ec6d340742f3,Olin College of Engineering created an event.,post_page_73089331857,event,2015-04-16T19:21:24+0000,,,,4,4,0,0,0,0,0,4,73089331857_644700962341382,https://www.facebook.com/73089331857/posts/644700962341382
272fbfae136b114677abd9bd68dcde10f0a6e97b,user_100000471800834,user,user,,,en_US,female,2,,0,0,0,,,2,,
d6c3825aaf5caaea709986d6c8b758d1e2cc74e5,user_100007988165568,user,user,,,es_ES,male,2,,0,0,0,,,2,,
780720e02d04346abb6255469d3ad90a71c0903a,user_1279738030,user,user,,,en_US,female,5,,0,0,0,,,5,,
18e27582e4764cccc6fa0f7f749d88f6af657339,Olin College of Engineering created an event.,post_page_73089331857,event,2015-04-16T18:44:30+0000,,,,11,11,0,0,0,0,0,11,73089331857_1417147131935196,https://www.facebook.com/73089331857/posts/1417147131935196
f4a2c8bce47863156bd9869d9ae1e9123cb13fa1,user_555298266,user,user,,,en_US,,1,,0,0,0,,,1,,
e7e99d199a26d6bb92cb22b1c2eb991aa1866370,user_1155403874,user,user,,,en_US,female,7,,0,0,0,,,7,,
bf3c773a9a4278f9013eb4ed7d072acb099c8536,user_14303802,user,user,,,en_US,female,9,,0,0,0,,,9,,
1e921ca36ddff80b845ccc5d4d12ee8aff260568,user_1554145654853823,user,user,,,,,2,,0,0,0,,,2,,
ae3c8b8b20da87d372306677f935afa273013455,user_1179397141,user,user,,,en_US,male,2,,0,0,0,,,2,,
531da456dcea10d70cba258b794ac0620c3c33ad,user_214500230,user,user,,,en_US,male,6,,0,0,0,,,6,,
b3341a5dc4d87a2ddf55f302bc4344c010302c0b,Last fall_ in his introduction to Bayesian statistics class_ two of Allen Downey’s students_ juniors Erin Pierce and Ben Kahle_ decided to conduct a survival analysis on the characters in A Song of Ice and Fire—the fantasy novels on which  Game of Thrones is based.  Their research is going viral and the two were recently interviewed on  NPR All Things Considered. Check it out!,post_page_73089331857,link,2015-04-15T14:37:38+0000,,,,50,50,1,1,0,0,8,59,73089331857_10153128482431858,https://www.facebook.com/73089331857/posts/10153128482431858
d758586402b746f419f5276cbe77b57aa522706a,user_40510779,user,user,,,en_US,female,1,,0,0,0,,,1,,
8d51e0f2fdda92e08c5f0c8373cd99096bb01fe9,user_1487252866,user,user,,,fb_LT,female,1,,0,0,0,,,1,,
33d446b32206bcc42a6d751aad2f94c4d01764f0,user_1407142074,user,user,,,en_US,female,1,,0,0,0,,,1,,
e43160c392b46491e12dafe3e04168dc12981d1f,user_100001572337744,user,user,,,en_US,female,1,,0,0,0,,,1,,
dc7b27f3c8eae95d4bcfbe6de365088463c61ab2,user_611217203,user,user,,,en_GB,male,1,,0,0,0,,,1,,
cacb65020a26e37da136d3a973a8e5550ea293a5,user_100000124896741,user,user,,,en_US,female,1,,0,0,0,,,1,,
9f99959784279e8ff60f4f772ded95aeea3f5506,user_100001732132046,user,user,,,en_GB,female,1,,0,0,0,,,1,,
fe85372a26dd2c007c592c7d85525e0c4bd9c7dd,user_1341691344,user,user,,,en_US,female,1,,0,0,0,,,1,,
6123b201652eeb234e127700f1cfa576afc3900f,user_100006859272496,user,user,,,en_US,male,1,,0,0,0,,,1,,
498e6e1dfda36d11cc751f6838dc5b1c94f6a821,user_1668677199,user,user,,,en_US,male,1,,0,0,0,,,1,,
69d830d6d6517ef6399bd8d9686bb8f2c97dac04,user_100002514556512,user,user,,,en_GB,female,4,,0,0,0,,,4,,
